Firm Name,Group,Joint Reporting,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,Grand total
Coventry Building Society,NO GROUP,yes,2022-07-01 to 2022-12-31,30.29%,,50.59%,100.00%,,33.49%
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,no,2022-07-01 to 2022-12-31,91.19%,,,,,91.19%
Creation Financial Services Limited,BNP PARIBAS GROUP,no,2022-07-01 to 2022-12-31,64.39%,,,,,64.39%
Cynergy Bank Limited,CYNERGY CAPITAL LTD,no,2022-07-01 to 2022-12-31,62.78%,,62.50%,,,62.77%
DAS Legal Expenses Insurance Company Limited,ERGO GROUP,no,2022-07-01 to 2022-12-31,,,,74.75%,,74.75%
DAVIES MGA SERVICES LIMITED,NO GROUP,no,2022-07-01 to 2022-12-31,,,,60.37%,,60.37%
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,no,2022-04-01 to 2022-09-30,,,,37.68%,,37.68%
Elderbridge Limited,TECH MAHINDRA LIMITED,no,2022-04-01 to 2022-09-30,,,68.09%,,,68.09%
Equiniti Financial Services Limited,EQUINITI GROUP PLC,no,2022-07-01 to 2022-12-31,,66.67%,,,34.33%,34.43%
ERGO TRAVEL INSURANCE SERVICES LTD,ERGO GROUP,no,2022-07-01 to 2022-12-31,,,,73.87%,,73.87%
esure Insurance Limited,ESURE GROUP PLC,yes,2022-07-01 to 2022-12-31,,,,45.83%,,45.83%
EUI Limited,ADMIRAL GROUP PLC,yes,2022-07-01 to 2022-12-31,,,,51.42%,,51.42%
Europa Group Limited,BLUE BOAR HOLDINGS LIMITED,no,2022-07-01 to 2022-12-31,,,,22.67%,,22.67%
Experian Limited,EXPERIAN PLC,no,2022-04-01 to 2022-09-30,,,,41.18%,,41.18%
Extracover Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,54.01%,,54.01%
Fairmead Insurance Limited,ALLIANZ SE,no,2022-04-01 to 2022-09-30,,,,70.69%,,70.69%
Family Assurance Friendly Society Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,71.43%,,23.46%,33.70%,27.63%
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,no,2022-07-01 to 2022-12-31,20.11%,,,,25.45%,24.43%
FCE Bank Plc,FORD MOTOR CO,no,2022-07-01 to 2022-12-31,90.08%,,,,,90.08%
FIL Life Insurance Limited,FIDELITY HOLDINGS LIMITED,no,2022-07-01 to 2022-12-31,,45.12%,,,,45.12%
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,no,2022-07-01 to 2022-12-31,,55.40%,,,50.57%,51.52%
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,no,2022-07-01 to 2022-12-31,,,,42.02%,,42.02%
FirstRand Bank Limited,FIRSTRAND LIMITED,no,2022-07-01 to 2022-12-31,,,,66.67%,,66.67%
Fortegra Europe Insurance Company Ltd,NO GROUP,no,2022-07-01 to 2022-12-31,,,,4.59%,,4.59%
Funding Circle Ltd,NO GROUP,no,2022-07-01 to 2022-12-31,,,,,84.78%,84.78%
Gresham Insurance Company Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,58.42%,,58.42%
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,,53.85%,,,45.18%,45.36%
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN PLC,no,2022-07-01 to 2022-12-31,,89.81%,,,87.24%,88.09%
Hastings Insurance Services Limited,HASTINGS GROUP,no,2022-07-01 to 2022-12-31,,,,60.55%,,60.55%
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,,,,,76.32%,76.32%
Highway Insurance Company Limited,ALLIANZ SE,no,2022-07-01 to 2022-12-31,,,,52.71%,,52.71%
Hiscox Insurance Company Limited,HISCOX LTD.,yes,2022-07-01 to 2022-12-31,,,,67.73%,,67.73%
Home Retail Group Card Services Limited,J SAINSBURY PLC,no,2022-03-01 to 2022-08-31,60.74%,,,,,60.74%
Homeserve Membership Limited,HOMESERVE PLC,no,2022-04-01 to 2022-09-30,,,,63.23%,,63.23%
Howserv Limited,STAYSURE HOLDINGS LTD,no,2022-07-01 to 2022-12-31,,,,74.04%,,74.04%
HSBC UK Bank Plc,HSBC HOLDINGS PLC,no,2022-07-01 to 2022-12-31,29.55%,54.76%,63.77%,25.66%,77.68%,32.12%
Hyundai Capital UK Limited,HYUNDAI MOTOR GROUP,no,2022-07-01 to 2022-12-31,,,,,,0.00%
I Go 4 Ltd.,NO GROUP,no,2022-07-01 to 2022-12-31,,,,72.19%,,72.19%
Insurance Factory Ltd,MARKERSTUDY GROUP,no,2022-07-01 to 2022-12-31,,,,52.24%,,52.24%
Inter Partner Assistance SA,AXA GROUP,no,2022-07-01 to 2022-12-31,,,,88.78%,,88.78%
Interactive Investor Services Limited,INTERACTIVE INVESTOR SERVICES LIMITED,no,2022-07-01 to 2022-12-31,,96.77%,,,73.23%,73.94%
Investec Bank PLC,INVESTEC PLC,no,2022-04-01 to 2022-09-30,20.55%,,92.86%,,98.08%,23.12%
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,no,2022-03-01 to 2022-08-31,,,,71.88%,,71.88%
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,no,2022-07-01 to 2022-12-31,53.52%,,,,,53.52%
Kensington Mortgage Company Limited,NO GROUP,no,2022-04-01 to 2022-09-30,,,65.89%,,,65.89%
Landmark Mortgages Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,85.11%,,,85.11%
LeasePlan UK Limited,LP GROUP B.V.,no,2022-07-01 to 2022-12-31,,,,,,0.00%
Leeds Building Society,LEEDS BUILDING SOCIETY,no,2022-07-01 to 2022-12-31,36.32%,,47.34%,62.50%,,41.12%
Legal & General (Portfolio Management Services) Ltd,LEGAL & GENERAL GROUP PLC,no,2022-07-01 to 2022-12-31,,50.18%,,,80.95%,51.30%
Legal & General Partnership Services Limited,LEGAL & GENERAL GROUP PLC,no,2022-07-01 to 2022-12-31,,,28.16%,100.00%,,29.45%
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,no,2022-07-01 to 2022-12-31,,74.82%,,26.79%,,36.27%
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,no,2022-07-01 to 2022-12-31,,41.04%,,28.42%,19.44%,28.77%
Liverpool Victoria Insurance Company Limited,ALLIANZ SE,no,2022-07-01 to 2022-12-31,,,,53.86%,,53.86%
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,,,,82.14%,,82.14%
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,44.96%,78.43%,48.29%,26.97%,65.97%,44.95%
London and Country Mortgages Ltd,NO GROUP,no,2022-07-01 to 2022-12-31,,,92.28%,77.78%,,91.80%
M & G Securities Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,,64.95%,64.95%
ManyPets Ltd,NO GROUP,no,2022-04-01 to 2022-09-30,,,,89.38%,,89.38%
Markerstudy Insurance Services Limited,MARKERSTUDY GROUP,no,2022-07-01 to 2022-12-31,,,,23.65%,,23.65%
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,2022-07-01 to 2022-12-31,23.00%,,,43.09%,,23.54%
Marshmallow Financial Services Ltd,NO GROUP,yes,2022-07-01 to 2022-12-31,,,,98.24%,,98.24%
MBNA Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,41.52%,,,78.69%,,42.31%
Metro Bank PLC,METRO BANK PLC,no,2022-07-01 to 2022-12-31,66.95%,,54.82%,,16.67%,66.64%
Millstream Underwriting Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,29.11%,,29.11%
Mitsubishi HC Capital UK PLC,NO GROUP,no,2022-04-01 to 2022-09-30,,,,,,0.00%
Monzo Bank Ltd,MONZO BANK LIMITED,no,2022-03-01 to 2022-08-31,74.46%,,,,,74.46%
Moorcroft Debt Recovery Limited,NO GROUP,no,2022-02-01 to 2022-07-31,72.68%,,,,,72.68%
Mortimer Clarke Solicitors Limited,CABOT CREDIT MANAGEMENT GROUP,no,2022-07-01 to 2022-12-31,33.97%,,,,,33.97%
MotoNovo Finance Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,77.08%,,77.08%
National House-Building Council,NATIONAL HOUSE-BUILDING COUNCIL,no,2022-04-01 to 2022-09-30,,,,82.14%,,82.14%
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,2022-07-01 to 2022-12-31,62.47%,25.00%,72.18%,43.67%,76.89%,63.21%
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,2022-04-05 to 2022-10-04,63.96%,100.00%,55.12%,55.05%,89.75%,63.17%
Newcastle Building Society,NO GROUP,no,2022-07-01 to 2022-12-31,42.90%,,33.33%,,100.00%,40.31%
Northern Bank Limited,DANSKE BANK A/S,no,2022-07-01 to 2022-12-31,48.51%,,80.65%,100.00%,100.00%,50.97%
One Call Insurance Services Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,22.50%,,22.50%
OneSavings Bank Plc,ONESAVINGS BANK PLC,no,2022-07-01 to 2022-12-31,40.90%,,57.87%,,,48.94%
OVO (S) HOME SERVICES LIMITED,SSE PLC,no,2022-07-01 to 2022-12-31,,,,67.91%,,67.91%
Paragon Bank Plc,PARAGON BANKING GROUP PLC,yes,2022-04-01 to 2022-09-30,75.92%,,57.19%,50.00%,,70.75%
People's Administration Services Limited,NO GROUP,no,2022-04-01 to 2022-09-30,,55.54%,,,,55.54%
Pepper (UK) Limited,PEPPER FINANCIAL SERVICES GROUP,no,2022-07-01 to 2022-12-31,,,40.70%,,,40.70%
Phoenix Life Assurance Limited,PHOENIX GROUP,no,2022-07-01 to 2022-12-31,,15.33%,100.00%,44.20%,37.97%,18.56%
Phoenix Life Limited,PHOENIX GROUP,no,2022-07-01 to 2022-12-31,,38.63%,33.33%,41.50%,42.78%,40.19%
Pinnacle Insurance Plc,BNP PARIBAS GROUP,no,2022-07-01 to 2022-12-31,,,,47.75%,,47.75%
Post Office Management Services Limited,POST OFFICE LIMITED,no,2022-04-01 to 2022-09-30,,,,74.90%,,74.90%
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,no,2022-07-01 to 2022-12-31,45.07%,,53.57%,44.44%,,48.92%
QBE UK Limited,QBE INSURANCE GROUP,no,2022-07-01 to 2022-12-31,,,,73.75%,,73.75%
Qmetric Group Limited,NO GROUP,no,2022-04-01 to 2022-09-30,,,,63.37%,,63.37%
Quilter Investment Platform Limited,QUILTER PLC GROUP,no,2022-07-01 to 2022-12-31,,,,,99.15%,99.15%
Quilter Life & Pensions Limited,QUILTER PLC GROUP,no,2022-07-01 to 2022-12-31,,99.08%,,,100.00%,99.19%
RAC Motoring Services,RAC GROUP (HOLDINGS) LIMITED,yes,2022-07-01 to 2022-12-31,,,,61.56%,,61.56%
RBS Collective Investment Funds Limited,THE ROYAL BANK OF SCOTLAND GROUP,no,2022-07-01 to 2022-12-31,,,,,47.81%,47.81%
ReAssure Life Limited,PHOENIX GROUP,no,2022-07-01 to 2022-12-31,,62.46%,,52.88%,57.99%,57.62%
ReAssure Limited,PHOENIX GROUP,no,2022-07-01 to 2022-12-31,,56.26%,50.00%,59.48%,55.01%,56.48%
Reassured Ltd,NO GROUP,no,2022-02-01 to 2022-07-31,,,,29.24%,,29.24%
Rock Insurance Services Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,25.34%,,25.34%
Royal & Sun Alliance Insurance Limited,RSA INSURANCE UK,no,2022-07-01 to 2022-12-31,,,,32.61%,,32.61%
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,no,2022-07-01 to 2022-12-31,,,,53.18%,,53.18%
Saga Services Limited,SAGA PLC,no,2022-02-01 to 2022-07-31,,,,24.27%,,24.27%
Santander Consumer (UK) Plc,SANTANDER UK GROUP,no,2022-07-01 to 2022-12-31,,,,,,0.00%
Santander UK Plc,SANTANDER UK GROUP,no,2022-07-01 to 2022-12-31,43.56%,65.52%,66.93%,25.99%,67.46%,45.70%
Scottish Equitable Plc,AEGON N.V.,no,2022-07-01 to 2022-12-31,,37.87%,,58.20%,50.00%,40.06%
Scottish Friendly Assurance Society Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,79.96%,,77.42%,88.32%,83.18%
Scottish Widows Administration Services Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,,89.51%,,,,89.51%
Scottish Widows Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,,63.54%,,63.98%,61.62%,63.28%
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,,,,,80.85%,80.85%
Secure Trust Bank Plc,SECURE TRUST BANK PLC,no,2022-07-01 to 2022-12-31,85.21%,,,,,85.21%
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,no,2022-07-01 to 2022-12-31,86.88%,,82.98%,,,85.73%
Shop Direct Finance Company Limited,THE VERY GROUP,no,2022-07-01 to 2022-12-31,,,,28.75%,,28.75%
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,no,2022-07-01 to 2022-12-31,,,,70.77%,,70.77%
Skipton Building Society,SKIPTON BUILDING SOCIETY,no,2022-07-01 to 2022-12-31,54.56%,93.33%,79.94%,100.00%,93.31%,63.44%
Society of Lloyd's,SOCIETY OF LLOYD'S,no,2022-07-01 to 2022-12-31,,,,62.33%,,62.33%
St James's Place UK plc,ST. JAMES'S PLACE PLC,no,2022-07-01 to 2022-12-31,,91.36%,,100.00%,92.72%,91.88%
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,no,2022-07-01 to 2022-12-31,100.00%,46.74%,53.33%,46.88%,46.28%,46.67%
Standard Life Assurance Limited,PHOENIX GROUP,no,2022-07-01 to 2022-12-31,,55.40%,93.75%,40.91%,54.22%,55.32%
Starling Bank Limited,NO GROUP,no,2022-04-01 to 2022-09-30,65.77%,,,,,65.77%
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",no,2022-07-01 to 2022-12-31,,,,69.14%,,69.14%
Stellantis Financial Services UK Limited,STELLANTIS FINANCIAL SERVICES UK LTD,no,2022-07-01 to 2022-12-31,,,,75.00%,,75.00%
Studio Retail Limited,NO GROUP,no,2022-05-01 to 2022-10-31,,,,46.67%,46.67%,46.67%
Sun Life Assurance Company of Canada (U.K.) Limited,SUN LIFE FINANCIAL INC.,no,2022-07-01 to 2022-12-31,,40.24%,,33.99%,36.95%,37.61%
Target Servicing Limited,NO GROUP,no,2022-04-01 to 2022-09-30,,,71.18%,,,71.18%
Telefonica Seguros y Reaseguros Compania Aseguradora S.A.U.,TELEFONICA GROUP,no,2022-07-01 to 2022-12-31,,,,74.96%,,74.96%
Telefonica UK Limited,TELEFONICA GROUP,no,2022-07-01 to 2022-12-31,,,,94.44%,,94.44%
Tesco Personal Finance PLC,TESCO BANK (TESCO PLC),no,2022-03-01 to 2022-08-31,61.25%,,,37.10%,,57.88%
Tesco Underwriting Limited,TESCO BANK (TESCO PLC),no,2022-03-01 to 2022-08-31,,,,53.58%,,53.58%
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),no,2022-07-01 to 2022-12-31,13.59%,66.67%,63.16%,50.00%,75.00%,17.06%
The Mortgage Business Plc,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,,,46.55%,,,46.55%
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,no,2022-04-01 to 2022-09-30,,,60.14%,,,60.14%
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,yes,2022-07-01 to 2022-12-31,,100.00%,,65.96%,96.49%,66.78%
The Prudential Assurance Company Limited,PRUDENTIAL PLC,yes,2022-07-01 to 2022-12-31,,67.19%,68.75%,66.59%,65.27%,66.77%
The Royal Bank of Scotland Plc,NATWEST GROUP,no,2022-07-01 to 2022-12-31,63.03%,50.00%,71.81%,35.71%,74.29%,63.51%
The Royal London Mutual Insurance Society Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD,no,2022-07-01 to 2022-12-31,,64.24%,,64.83%,71.93%,64.72%
Topaz Finance Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,93.35%,,,93.35%
Triodos Bank UK Limited,TRIODOS BANK NV,no,2022-07-01 to 2022-12-31,37.29%,,,,48.39%,37.97%
TSB Bank plc,BANCO DE SABADELL SA,no,2022-07-01 to 2022-12-31,27.66%,,40.18%,31.25%,,28.59%
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,2022-07-01 to 2022-12-31,,,,43.16%,,43.16%
UBS AG,UBS GROUP AG,no,2022-07-01 to 2022-12-31,54.29%,50.00%,77.78%,,43.04%,44.49%
"Vanguard Asset Management, Ltd",VANGUARD ASSET MANAGEMENT LTD,no,2022-07-01 to 2022-12-31,,53.85%,,,52.78%,53.07%
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,no,2022-07-01 to 2022-12-31,66.74%,,,,,66.74%
Vitality Corporate Services Limited,DISCOVERY LIMITED,no,2022-07-01 to 2022-12-31,,95.45%,,61.28%,92.31%,61.91%
Vodafone Limited,VODAFONE GROUP,no,2022-04-01 to 2022-09-30,,,,78.74%,,78.74%
Volkswagen Financial Services (UK) Limited,VOLKSWAGEN GROUP,no,2022-07-01 to 2022-12-31,,,,100.00%,,100.00%
Wescot Credit Services Limited,NO GROUP,no,2022-07-01 to 2022-12-31,49.70%,,,,,49.70%
Xbridge Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,77.40%,,77.40%
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,no,2022-07-01 to 2022-12-31,63.71%,,66.72%,82.35%,100.00%,64.58%
Zopa Bank Limited,NO GROUP,no,2022-07-01 to 2022-12-31,88.86%,,,,,88.86%
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,no,2022-07-01 to 2022-12-31,,64.29%,50.00%,72.90%,56.21%,68.29%
Zurich Insurance PLC,ZURICH INSURANCE GROUP AG,no,2022-07-01 to 2022-12-31,,,,71.17%,,71.17%
Accord Mortgages Limited,ACCORD MORTGAGES LIMITED,no,2022-01-01 to 2022-06-30,50.00%,,66.55%,,,
Acm Ulr Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,,84.34%,,
Adrian Flux Insurance Services Group,NO GROUP,no,2021-09-01 to 2022-02-28,,,,9.88%,,
Advanced Payment Solutions Limited,NO GROUP,no,2021-10-01 to 2022-03-31,66.12%,,,,,
Advisory Insurance Brokers Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,,37.93%,,
Affinity Insurance Solutions Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,,21.89%,,
Ageas Insurance Limited,AGEAS SA-NV,no,2022-01-01 to 2022-06-30,,,,60.49%,,
Ageas Retail Limited,AGEAS SA-NV,no,2022-01-01 to 2022-06-30,,,,26.08%,,
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,no,2022-01-01 to 2022-06-30,71.82%,,54.84%,50.00%,,
Aioi Nissay Dowa Insurance UK Limited,NO GROUP,yes,2022-01-01 to 2022-06-30,,,,69.82%,,
AJ Bell Management Limited,NO GROUP,no,2021-10-01 to 2022-03-31,46.67%,51.28%,,,,
Aldermore Bank Plc,FIRSTRAND LIMITED,no,2022-01-01 to 2022-06-30,48.70%,,87.41%,,,
Allianz Insurance Plc,NO GROUP,no,2022-01-01 to 2022-06-30,,,,57.90%,,
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS,no,2022-01-01 to 2022-06-30,91.77%,,,91.67%,,
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",no,2021-12-01 to 2022-05-31,,,,62.34%,,
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,no,2022-01-01 to 2022-06-30,,,,73.69%,,
Animal Friends Insurance Services Ltd,NO GROUP,no,2022-01-01 to 2022-06-30,,,,69.07%,,
Arthur J. Gallagher Insurance Brokers Limited,NO GROUP,yes,2022-01-01 to 2022-06-30,,,,61.32%,,
Assurant General Insurance Limited,ASSURANT INC,no,2022-01-01 to 2022-06-30,,,,26.65%,,
Astrenska Insurance Limited,NO GROUP,no,2021-11-01 to 2022-04-30,,,,61.81%,,
Asurion Europe Limited,NEW ASURION CORP,no,2022-01-01 to 2022-06-30,,,,64.20%,,
ATLANTA 1 INSURANCE SERVICES LIMITED,ARDONAGH GROUP,no,2022-01-01 to 2022-06-30,,,,47.09%,,
Atlanta Insurance Intermediaries Limited,ARDONAGH GROUP LIMITED,no,2022-01-01 to 2022-06-30,,,,52.39%,,
Automobile Association Insurance Services Limited,NO GROUP,no,2021-08-01 to 2022-01-31,,,,49.11%,,
Avantia Insurance Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,,14.86%,,
Aviva Insurance Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,,52.84%,,
Aviva Life Services UK Limited,AVIVA PLC,no,2022-01-01 to 2022-06-30,,58.61%,43.89%,52.66%,62.37%,
AWP Assistance UK Ltd,ALLIANZ SE,no,2022-01-01 to 2022-06-30,,,,73.76%,,
AXA Insurance UK Plc,AXA SA,no,2022-01-01 to 2022-06-30,,,,28.89%,,
AXA PPP Healthcare Limited,AXA SA,no,2022-01-01 to 2022-06-30,,,,17.93%,,
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP PLC,yes,2022-01-01 to 2022-06-30,65.07%,,67.50%,91.67%,50.00%,
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,no,2022-01-01 to 2022-06-30,36.93%,78.57%,41.22%,19.02%,52.43%,
Barbon Insurance Group Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,,58.11%,,
Barclays Bank Plc,BARCLAYS PLC,no,2022-01-01 to 2022-06-30,21.24%,,16.67%,,36.59%,
Barclays Bank UK PLC,BARCLAYS PLC,yes,2022-01-01 to 2022-06-30,28.13%,27.12%,34.63%,14.31%,36.30%,
Bennetts Motorcycling Services Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,,33.93%,,
BISL Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,,60.55%,,
Black Horse Limited,BARCLAYS PLC,no,2022-01-01 to 2022-06-30,,,81.82%,5.47%,,
Bradford & Bingley Limited,UK ASSET RESOLUTION LIMITED,yes,2021-10-01 to 2022-03-31,,,91.27%,28.57%,52.38%,
Brightside Insurance Services Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,,47.67%,,
British Gas Services Limited,CENTRICA PLC,yes,2022-01-01 to 2022-06-30,,,,16.78%,,
BUPA Insurance Services Limited,THE BRITISH UNITED PROVIDENT ASSOCIATION LTD,yes,2022-01-01 to 2022-06-30,,,,50.15%,,
Cabot Credit Management Group Limited,NO GROUP,no,2022-01-01 to 2022-06-30,75.42%,,71.05%,,,
Call Assist Ltd,CALL ASSIST LIMITED,no,2021-11-01 to 2022-04-30,,,,36.17%,,
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,no,2022-01-01 to 2022-06-30,76.98%,,,45.45%,,
Car Care Plan Ltd,AMTRUST FINANCIAL SERVICES INC,yes,2022-01-01 to 2022-06-30,,,,63.01%,,
Carfinance247 Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,,81.97%,,
Carole Nash Insurance Consultants Ltd,ARDONAGH GROUP,no,2022-01-01 to 2022-06-30,,,,53.06%,,
Cater Allen Limited,NO GROUP,no,2022-01-01 to 2022-06-30,46.44%,,,,,
Charter Court Financial Services Limited,NO GROUP,no,2022-01-01 to 2022-06-30,69.73%,,64.75%,,,
Citibank UK Limited,NO GROUP,no,2022-01-01 to 2022-06-30,26.65%,,,33.33%,83.72%,
ClearBank Limited,NO GROUP,no,2022-01-01 to 2022-06-30,86.03%,,,,,
Close Brothers Limited,NO GROUP,no,2021-08-01 to 2022-01-31,39.29%,,,70.00%,,
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,yes,2021-10-01 to 2022-03-31,29.17%,50.00%,57.11%,42.86%,85.71%,
Cofunds Limited,AEGON GROUP,no,2022-01-01 to 2022-06-30,,47.92%,,,57.85%,
Columbia Threadneedle Management Limited,NO GROUP,no,2021-11-01 to 2022-04-30,,,,,84.43%,
Connells Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,89.47%,82.46%,,
Corgi Homeplan Ltd,US BANCORP,no,2022-01-01 to 2022-06-30,,,,58.33%,,
Coutts & Company,THE ROYAL BANK OF SCOTLAND GROUP,no,2022-01-01 to 2022-06-30,61.27%,42.86%,77.23%,70.00%,70.77%,
Covea Insurance plc,NO GROUP,yes,2022-01-01 to 2022-06-30,,,,74.73%,,
Coventry Building Society,COVENTRY BUILDING SOCIETY,no,2022-01-01 to 2022-06-30,26.26%,,45.23%,100.00%,,
Creation Consumer Finance Ltd,BNP PARIBAS SA,no,2022-01-01 to 2022-06-30,89.92%,,,,,
Creation Financial Services Limited,BNP PARIBAS SA,no,2022-01-01 to 2022-06-30,56.15%,,,,,
Currys Retail Limited,NO GROUP,no,2021-11-01 to 2022-04-30,,,,4.56%,,
Cynergy Bank Limited,CYNERGY CAPITAL LTD,no,2022-01-01 to 2022-06-30,56.90%,,78.57%,,,
DAS Legal Expenses Insurance Company Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,,55.10%,,
Devitt Insurance Services Ltd,NO GROUP,no,2022-01-01 to 2022-06-30,,,,20.74%,,
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,no,2021-10-01 to 2022-03-31,,,,47.21%,,
Drydens Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,40.00%,,,
Elderbridge Limited,TECH MAHINDRA LIMITED,no,2021-10-01 to 2022-03-31,,,80.29%,66.67%,,
Equiniti Financial Services Limited,EQUINITI GROUP PLC,no,2022-01-01 to 2022-06-30,,69.23%,,,33.57%,
ERGO TRAVEL INSURANCE SERVICES LTD,NO GROUP,no,2022-01-01 to 2022-06-30,,,,68.00%,,
esure Insurance Limited,ESURE GROUP PLC,yes,2022-01-01 to 2022-06-30,,,,52.01%,,
EUI Limited,ADMIRAL GROUP PLC,yes,2022-01-01 to 2022-06-30,,,,51.62%,,
Europa Group Limited,BLUE BOAR HOLDINGS LIMITED,no,2022-01-01 to 2022-06-30,,,,30.59%,,
Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED,no,2022-01-01 to 2022-06-30,,,,11.03%,,
Experian Limited,NO GROUP,no,2021-10-01 to 2022-03-31,,,,43.48%,,
Extracover Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,,48.19%,,
Fairmead Insurance Limited,ALLIANZ SE,no,2022-01-01 to 2022-06-30,,,,68.16%,,
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,no,2022-01-01 to 2022-06-30,43.65%,,,,59.25%,
FCE Bank Plc,NO GROUP,no,2022-01-01 to 2022-06-30,75.79%,,,,,
FIL Life Insurance Limited,FIDELITY HOLDINGS LIMITED,no,2022-01-01 to 2022-06-30,,39.87%,,,,
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,no,2022-01-01 to 2022-06-30,,66.84%,,,63.67%,
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,no,2022-01-01 to 2022-06-30,,,,36.50%,,
